cnpj,razao_social,sigla_uf,cnae_secao,archetype,headcount,receita_point_brl,receita_pia_brl,convergencia_pct,confidence
00135052000175,COSTA DO SOL EMPREENDIMENTOS E COMUNICACAO LTDA,RJ,J,family_mature_sweet_spot,63,41133218.49869087,44109921.24,7.236736754270437,alta
05855407000114,DI-ON AMBIENTAL INDUSTRIA E COMERCIO LTDA.,SP,G,standard,19,40989016.01484118,33847838.61,17.422173301880488,alta
36210856000139,BENVERDE HORTIFRUTIGRANJEIROS E TEMPEROS LTDA,SP,G,standard,28,40968116.30636429,49881025.32,21.755720831741325,baixa
05985763000152,REINTECH INDUSTRIA DE EQUIPAMENTOS E PRODUTOS PARA CONTROLE DA CONTAMINACAO LTDA,SP,C,labor_intensive_midcap,75,40940661.782175824,37730292.0,7.841519023938959,alta
04042555000157,V SOARES DA SILVA JUNIOR  COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,SP,G,standard,21,40935187.02154243,37410768.99,8.609751873584157,alta
33047104000100,NOSPET DISTRIBUIDORA LTDA,SP,G,standard,18,40918068.45114148,32066373.419999998,21.63272941808314,baixa
02807343000198,INDUSTRIA ALIMENTICIA UNIAO DE ITAJU LTDA,SP,C,labor_intensive_midcap,64,40886349.675205514,37703349.76,7.784994112927047,alta
33287599000145,HAMBURGAO & DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,RJ,G,standard,23,40884220.627975956,40973699.37,0.2188588669409876,alta
02601566000102,VIRTUAL PLASTICOS LTDA,SP,C,labor_intensive_midcap,89,40883867.62585468,34081614.61,16.63798806439971,alta
43445965000109,CONSTRUMIX COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,SP,G,standard,19,40870749.73982695,33847838.61,17.18322070070419,alta
43445965000109,CONSTRUMIX COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,SP,G,standard,19,40870749.73982695,33847838.61,17.18322070070419,alta
58507435000107,AFIADORA CAMPINAS - INDUSTRIA E COMERCIO DE FACAS INDUSTRIAIS LTDA,SP,C,labor_intensive_midcap,88,40837961.26736402,39569420.0,3.1062796182672874,alta
34690056000137,PARTNERS AUTOMOTIVA INDUSTRIA E COMERCIO LTDA,SP,C,labor_intensive_midcap,63,40823339.51089582,36740771.55,10.000573225534811,alta
61232716000109,LUVIDARTE INDUSTRIA DE VIDROS E ILUMINACAO LTDA,SP,C,labor_intensive_midcap,98,40747589.70926877,45286825.080000006,11.13988680832011,alta
05529379000145,"RIO LIXAS INDUSTRIA E COMERCIO DE ABRASIVOS, IMPORTACAO E EXPORTACAO LTDA",SP,G,standard,18,40739135.329429485,32066373.419999998,21.288527209276292,alta
07044171000161,TAMOIO BOAS IMPRESSOES IMPORTACAO E EXPORTACAO LTDA,SP,C,labor_intensive_midcap,84,40692843.67866103,41634645.36,2.314415991116488,alta
02560432000182,BLOWPET TRANSFORMACOES PLASTICAS LTDA,SP,C,family_mature_sweet_spot,66,40658142.79566727,33977741.160000004,16.43066105906628,alta
45405131000197,SORVETERIA DELICIA GELADA LTDA,SP,C,labor_intensive_midcap,83,40655217.46229429,30652049.4,24.604881456043707,alta
09111405000171,USIMAZA INDUSTRIA LTDA,SP,C,labor_intensive_midcap,110,40650726.9937511,49461775.0,21.675007208612403,alta
11812818000125,HLOG SERVICOS DE LOGISTICA LTDA,RJ,H,labor_intensive_midcap,227,40641455.36036206,48756074.69,19.966360106169308,alta
04635345000172,BIOTRON ZOOTECNICA LTDA,SP,C,family_mature_sweet_spot,33,40588339.54826071,31969972.650000002,21.233603035209708,alta
24896480000189,SIGMA INDUSTRIA E COMERCIO DE CONDUTORES LTDA,SP,G,standard,21,40572876.55699845,37410768.99,7.793648948100058,alta
59093211000169,WRP COMERCIAL LTDA,SP,C,labor_intensive_midcap,63,40553537.62950317,35900357.22,11.474166451308374,alta
37763405000191,BVLGARAT DISTRIBUIDORA LTDA,RJ,G,standard,22,40518762.185732484,39192234.18,3.2738611304359706,alta
06086255000103,FRIGORIFICO DOM GLUTAO LTDA,SP,C,family_mature_sweet_spot,44,40448625.871157475,42159467.239999995,4.22966499354546,alta
04325136000122,AMIGAO DO RIO DA PRATA LATICINIOS LTDA,RJ,G,family_mature_sweet_spot,28,40385212.47764066,49881025.32,23.51309367907056,alta
33789402000176,BELISSIMA PAULISTA IMPORTACAO EXPORTACAO COSMETICOS LTDA,SP,G,standard,18,40381403.21811228,32066373.419999998,20.591235409032894,baixa
54593363000107,FIRMEZA INDUSTRIA E COMERCIO DE CORDAS LTDA,SP,C,labor_intensive_midcap,102,40372983.008790135,31122543.959999997,22.91244876995119,alta
22254990000127,PROBALL INDUSTRIA E COMERCIO DE ARTIGOS ESPORTIVOS LTDA,SP,G,standard,23,40364978.056260176,40973699.37,1.5080432172944416,baixa
57313165000130,KINNER SILICONE RUBBER INDUSTRIA E COMERCIO LTDA,SP,C,labor_intensive_midcap,74,40308892.95647379,31594767.68,21.618369142222406,alta
